,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
147,08X408,HERBERT H. LEHMAN YABC,40.8214475,-73.8556542,6,402,373,413,,,,
419,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,40.7085723,-73.8556439,6,403,408,367,,,,
3,01M458,FORSYTH SATELLITE ACADEMY,40.7221984,-73.9907155,7,414,401,359,,,,
112,06M457,GEORGE WASHINGTON YABC,39.983958,-75.1263108,7,394,357,346,,,,
299,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,40.6494997,-73.9581617,7,394,364,334,,,Suma de Num_of_SAT_Test_Takers,
326,18K635,OLYMPUS ACADEMY,40.6675864,-73.8948897,7,400,370,370,,,Etiquetas de fila,Total
371,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,40.7182547,-73.9760185,7,311,371,311,,,6-15,278
399,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,40.5866656,-73.8234351,7,379,421,377,,,16-25,357
255,13K553,BROOKLYN ACADEMY HIGH SCHOOL,40.6956553,-73.9858309,8,435,383,379,,,26-35,1076
290,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.6494997,-73.9581617,8,430,416,425,,,36-45,1528
476,79Q950,GED PLUS s CITYWIDE,0,0,8,496,400,426,,,46-55,2837
66,02M586,HARVEY MILK HIGH SCHOOL,40.72977,-73.99271,9,458,416,429,,,56-65,2826
120,07X321,CROTONA ACADEMY HIGH SCHOOL,40.8101969,-73.9186219,9,379,364,382,,,66-75,3230
145,08X377,BRONX COMMUNITY HIGH SCHOOL,40.8401731,-73.8393567,9,367,369,376,,,76-85,2144
155,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,40.839614,-73.911386,9,404,368,399,,,86-95,1734
245,13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,40.6946132,-73.9883212,9,439,374,418,,,96-105,1108
285,15K520,PACIFIC HIGH SCHOOL,40.6919757,-73.9314884,9,352,341,300,,,106-115,1118
395,25Q467,FLUSHING YABC,40.7336309,-73.7391435,9,378,373,344,,,116-125,482
477,79X490,PHOENIX ACADEMY,0,0,9,367,370,360,,,126-135,1050
205,10X667,GRACE DODGE YABC,40.8750988,-73.8616623,10,350,356,317,,,136-145,989
362,21K728,LIBERATION DIPLOMA PLUS,40.6655301,-73.9120609,10,411,369,373,,,146-155,763
457,31R470,CONCORD HIGH SCHOOL,40.6968124,-73.9117231,10,466,455,414,,,156-165,324
460,31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,40.695375,-73.9156662,10,405,375,370,,,166-175,516
370,23K643,BROOKLYN DEMOCRACY ACADEMY,40.743329,-73.871507,11,349,338,331,,,176-185,367
79,03M404,INNOVATION DIPLOMA PLUS,40.785992,-73.9743724,12,416,403,381,,,186-195,574
275,14K632,FRANCES PERKINS ACADEMY,40.6694296,-73.9788092,12,382,372,368,,,206-215,214
329,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,40.6668454,-73.8952889,12,410,403,378,,,226-235,455
256,13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,40.7043785,-73.9531909,13,398,391,394,,,236-245,715
57,02M544,INDEPENDENCE HIGH SCHOOL,33.1645527,-96.7511308,14,389,371,335,,,256-265,1306
235,12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,40.8416248,-73.8751818,14,380,372,349,,,266-275,541
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,40.7382609,-73.9812096,16,395,400,387,,,276-285,278
154,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,40.8217489,-73.9024052,16,366,400,368,,,316-325,320
238,12X480,BRONX REGIONAL HIGH SCHOOL,40.6969046,-73.9759851,16,398,385,398,,,326-335,669
311,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,40.6335392,-73.9174421,16,372,356,335,,,336-345,336
321,18K578,BROOKLYN BRIDGE ACADEMY,40.6335392,-73.9174422,17,384,362,351,,,346-355,347
372,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,40.7408369,-73.8739856,17,350,346,332,,,366-375,750
397,25Q540,QUEENS ACADEMY HIGH SCHOOL,40.744121,-73.728799,17,398,382,388,,,376-385,385
7,01M650,CASCADES HIGH SCHOOL,40.7221767,-73.9906357,18,417,418,411,,,386-395,1178
349,20K658,FRANKLIN DELANO ROOSEVELT YABC,40.619652,-73.9591888,18,338,477,316,,,396-405,1203
103,05M469,CHOIR ACADEMY OF HARLEM,40.8243982,-73.9365449,20,354,360,385,,,406-415,415
261,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",40.7118089,-73.9390746,20,441,499,413,,,416-425,422
291,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,40.6494997,-73.9581617,20,355,355,358,,,436-445,443
466,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,40.8404184,-73.8445281,23,347,358,350,,,446-455,448
116,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,40.8183975,-73.9501148,24,400,422,402,,,456-465,918
467,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,40.8109922,-73.9090594,24,359,317,358,,,466-475,475
50,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,40.7241219,-74.0051608,25,370,349,351,,,516-525,518
226,12X245,NEW DAY ACADEMY,40.8367822,-73.8877059,25,348,344,354,,,526-535,1066
420,28Q350,JAMAICA GATEWAY TO THE SCIENCES,40.7009286,-73.7983153,25,430,452,425,,,556-565,558
59,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,40.741817,-74.0002309,26,368,436,352,,,686-695,694
183,10X243,WEST BRONX ACADEMY FOR THE FUTURE,40.8776412,-73.913386,26,382,406,370,,,706-715,708
74,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,40.7747793,-73.98472,27,406,379,408,,,726-735,1458
178,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,40.8776027,-73.9133334,27,353,315,371,,,756-765,762
130,07X547,NEW EXPLORERS HIGH SCHOOL,40.8225735,-73.9235453,28,367,356,361,,,806-815,807
276,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,40.6694296,-73.9788092,28,359,335,341,,,816-825,824
287,15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,40.6884532,-73.9207644,28,368,365,368,,,826-835,832
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,40.7134455,-73.9860332,29,355,404,363,,,886-895,888
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,40.7364053,-73.9957205,29,356,357,349,,,926-935,934
98,05M285,HARLEM RENAISSANCE HIGH SCHOOL,40.817349,-73.94745,29,357,318,333,,,1276-1285,1277
244,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,40.6973449,-73.9844964,29,352,349,373,,,Total general,46445
253,13K509,FREEDOM ACADEMY HIGH SCHOOL,40.6925078,-73.9581585,29,400,390,403,,,,
317,18K566,BROOKLYN GENERATION SCHOOL,40.6409517,-73.8976898,29,374,377,394,,,,
